"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","deltaAIC","Weight","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi"
"ACMI",1,5,15,"Yes","Unavg",0,0.469733098412492,0.140030096167124,-3.31440675897303,-8.26094134932655,NA,NA,NA,NA,2.15762897259387,0.102995016133521,6.40677411481723,27.2988921606636,NA,NA
"ACMI",1,5,15,"Yes","Unavg",0.854294317322029,0.306438627572886,0.0910870143968142,-3.19458313229914,NA,NA,NA,NA,NA,2.05960319946016,0.555525802683881,NA,NA,NA,NA
"ACMI",1,5,15,"Yes","Unavg",1.48257106741158,0.223828274014622,0.143724796946751,-3.35779625994815,-9.89320578775999,-3.19577114170997,NA,NA,NA,2.25188909336377,0.00556249640618542,7.17401772737096,32.4098290753902,NA,NA
"ACMI",1,5,15,"Yes","Avg",NA,NA,NA,-3.28739996837789,-6.09481675176882,-0.71530393879468,NA,NA,NA,2.14868816934834,0.219859776575027,4.61522186144979,20.0774293009105,NA,NA
"ARUV",1,27,21,"Yes","Unavg",0,0.526942451991938,0.0576543722078463,-1.62209366960475,-11.0610551333748,-5.37282750909093,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",1,27,21,"Yes","Unavg",1.27728351999016,0.27823040998966,0.0443453650045837,-1.54975181759265,-8.82534115206392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",1,27,21,"Yes","Unavg",1.98995729921512,0.194827138018402,0.0820610801135759,-1.68575703753866,-18.5241494062981,-6.89467542877456,NA,NA,NA,-0.0703135860827671,-0.0377108179870647,8.33563347521986,16.9632412289306,NA,NA
"ARUV",1,27,21,"Yes","Avg",NA,NA,NA,-1.61436931823119,-11.8930248136902,-4.17444078312406,NA,NA,NA,-0.013698994740316,-0.00734709074075268,1.62400761354747,3.3048997401483,NA,NA
"CARU",1,28,17,"Yes","Unavg",0,0.366049278793284,0.0816910640426463,-1.82438093903736,-11.415152981572,-12.40855396294,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARU",1,28,17,"Yes","Unavg",0.277110406425692,0.318688062108359,0.0973815528442881,-1.54220489818847,-11.5568752583794,-12.8356324906644,NA,NA,NA,-0.448936144989505,-0.720665693793303,NA,NA,NA,NA
"CARU",1,28,17,"Yes","Unavg",0.298723672133434,0.315262659098356,0.131007257975498,-1.56147830565184,-14.096770864305,-11.0822913539725,NA,NA,NA,-0.27680322366259,-2.37393056926421,10.8246570685342,-3.96218732199112,7.57974375128931,-37.5515631755074
"CARU",1,28,17,"Yes","Avg",NA,NA,NA,-1.65157142012074,-12.3057321637214,-12.1265377145427,NA,NA,NA,-0.230336310395968,-0.978079217164075,3.4126101712539,-1.24912971097672,2.38961017031562,-11.8386056600104
"CEVE",1,23,21,"Yes","Unavg",0,0.369981641741317,0.152373088876571,-2.22035853537801,-20.9906824220838,-20.683770029502,NA,NA,NA,1.15248437430615,-0.351070086809405,9.2553435979466,22.8229960383596,NA,NA
"CEVE",1,23,21,"Yes","Unavg",0.291925682520628,0.319734366453014,0.168207923950884,-1.8834950821563,-15.1698170138126,-12.6645779168048,NA,NA,NA,0.563995160589192,-1.34108390929823,-2.39506624440161,17.456579252082,-19.3935161315833,-21.9191154804128
"CEVE",1,23,21,"Yes","Unavg",0.35193081355942,0.310283991805669,0.133788750811205,-1.97329028094697,-12.1372819868439,-18.6079852412742,NA,NA,NA,0.90963409633115,-0.60690003515715,NA,NA,NA,NA
"CEVE",1,23,21,"Yes","Avg",NA,NA,NA,-2.03599038834767,-16.3824832804617,-17.4756759296629,NA,NA,NA,0.888971594732726,-0.746991466719374,2.65852223098152,14.0255578513291,-6.2007735936281,-7.00829450134024
