"Elevation.m","Elevation.m2","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","Species","Fire.Included","Effect"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACCI","No","+"
100,100,NA,NA,NA,NA,NA,NA,100,71,NA,"ACCI","No","-"
NA,NA,100,100,100,100,100,100,NA,29,100,"ACCI","No","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACCI","No","Ignore"
NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"ACGL","No","+"
100,100,NA,NA,NA,NA,NA,NA,98,15,8,"ACGL","No","-"
NA,NA,100,100,100,100,100,100,NA,85,92,"ACGL","No","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACGL","No","Ignore"
1,2,100,36,97,99,19,NA,NA,NA,NA,"ACMI","Yes","+"
99,90,NA,64,2,NA,NA,19,NA,NA,NA,"ACMI","Yes","-"
NA,8,NA,NA,1,1,81,81,100,100,100,"ACMI","Yes","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACMI","Yes","Ignore"
NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,"AMAL","No","+"
100,100,NA,NA,NA,NA,NA,NA,22,NA,NA,"AMAL","No","-"
NA,NA,100,100,100,100,100,100,NA,100,100,"AMAL","No","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMAL","No","Ignore"
NA,NA,100,NA,100,100,NA,NA,NA,NA,NA,"ARUV","Yes","+"
100,100,NA,100,NA,NA,NA,NA,NA,NA,NA,"ARUV","Yes","-"
NA,NA,NA,NA,NA,NA,100,100,100,100,100,"ARUV","Yes","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARUV","Yes","Ignore"
NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,"ATFI","No","+"
100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ATFI","No","-"
NA,NA,100,100,100,100,100,100,NA,100,100,"ATFI","No","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ATFI","No","Ignore"
74,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,"CAME","No","+"
NA,74,NA,NA,NA,NA,NA,NA,62,3,NA,"CAME","No","-"
NA,NA,74,74,74,74,74,74,NA,71,74,"CAME","No","0"
26,26,26,26,26,26,26,26,26,26,26,"CAME","No","Ignore"
NA,NA,100,NA,48,46,17,NA,NA,NA,NA,"CARU","Yes","+"
100,100,NA,100,NA,2,4,21,NA,NA,NA,"CARU","Yes","-"
NA,NA,NA,NA,52,52,79,79,100,100,100,"CARU","Yes","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARU","Yes","Ignore"
NA,NA,100,NA,65,65,NA,NA,NA,NA,NA,"CEVE","Yes","+"
100,100,NA,100,NA,NA,4,4,NA,NA,NA,"CEVE","Yes","-"
NA,NA,NA,NA,35,35,96,96,100,100,100,"CEVE","Yes","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CEVE","Yes","Ignore"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHUM","No","+"
100,100,NA,NA,NA,NA,NA,NA,100,95,75,"CHUM","No","-"
NA,NA,100,100,100,100,100,100,NA,5,25,"CHUM","No","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHUM","No","Ignore"
NA,NA,NA,NA,NA,NA,NA,NA,98,NA,NA,"CLUN","No","+"
100,100,NA,NA,NA,NA,NA,NA,2,36,NA,"CLUN","No","-"
NA,NA,100,100,100,100,100,100,NA,64,100,"CLUN","No","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CLUN","No","Ignore"
NA,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,"COCA","No","+"
100,100,NA,NA,NA,NA,NA,NA,1,NA,NA,"COCA","No","-"
NA,NA,100,100,100,100,100,100,NA,100,100,"COCA","No","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COCA","No","Ignore"
3,NA,100,23,NA,45,7,24,NA,NA,NA,"EPAN","Yes","+"
